site,plot_id,plot,split_plot,sub_plot,sample_year,treatments,n_factor_level,n_rate,p_factor_level,p_rate,k_factor_level,k_rate,mg_factor_level,mg_rate,na_factor_level,na_rate,si_factor_level,si_rate,liming_factor_level,liming_rate,fym_factor_level,fym_rate,fm_factor_level,fm_n_rate,pm_factor_level,pm_n_rate,Achillea millefolium,Agrimonia eupatoria,Agrostis capillaris,Ajuga reptans,Alopecurus pratensis,Anthoxanthum odoratum,Anthriscus sylvestris,Arrhenatherum elatius,Bellis perennis,Briza media,Bromus hordeaceus,Cardamine pratensis,Carex caryophyllea,Carex flacca,Centaurea nigra,Cerastium fontanum,Conopodium majus,Crepis capillaris,Cynosurus cristatus,Dactylis glomerata,Deschampsia cespitosa,Elytrigia repens,Festuca pratensis,Festuca rubra,Filipendula ulmaria,Fritillaria meleagris,Galium verum,Helictotrichon pubescens,Heracleum sphondylium,Holcus lanatus,Hypochoeris radicata,Knautia arvensis,Lathyrus pratensis,Leontodon autumnalis,Leontodon hispidus,Linum catharticum,Lolium perenne,Lotus corniculatus,Luzula campestris,Ononis repens,Ophioglossum vulgatum,Pilosella officinarum,Pimpinella saxifraga,Plantago lanceolata,Poa pratensis,Poa trivialis,Potentilla reptans,Potentilla sterilis,Primula veris,Prunella vulgaris,Ranunculus acris,Ranunculus auricomus,Ranunculus bulbosus,Ranunculus ficaria,Rumex acetosa,Sanguisorba minor,Senecio jacobaea,Stachys officinalis,Stellaria graminea,Stellaria media,Taraxacum officinale,Tragopogon pratensis,Trifolium pratense,Trifolium repens,Trisetum flavescens,Veronica chamaedrys,Vicia cracca,Vicia sativa,note_id
Rothamsted,3c,3,*,c,1991,Nil,0,0,0,0,0,0,0,0,0,0,0,0,c,0.000,0,0,0,0,0,0,3.720,0.000,27.740,0.020,0.000,0.230,0.000,0.000,0.000,0.580,0.000,0.000,0.310,0.060,5.110,0.020,0.230,0.030,0.000,1.140,0.000,0.000,0.000,45.560,0.000,0.000,0.000,0.000,0.160,0.050,0.000,0.040,0.270,0.000,4.720,0.000,0.000,1.160,0.040,0.000,0.000,0.150,0.060,4.690,0.000,0.000,0.000,0.000,0.000,0.010,0.260,0.000,0.390,0.000,0.080,2.700,0.000,0.000,0.000,0.000,0.110,0.000,0.250,0.000,0.110,0.000,0.000,0.000,*
Rothamsted,3d,3,*,d,1991,Nil,0,0,0,0,0,0,0,0,0,0,0,0,d,0.000,0,0,0,0,0,0,2.020,0.000,23.960,0.220,0.000,0.450,0.000,0.000,0.000,0.470,0.000,0.000,0.340,0.000,5.280,0.000,1.210,0.580,0.000,2.210,0.000,0.000,0.000,25.200,0.000,0.000,0.580,0.000,0.000,1.730,0.150,0.400,0.210,0.000,2.890,24.200,0.000,0.230,0.140,0.000,0.000,0.320,0.150,3.850,0.000,0.000,0.070,0.000,0.000,0.050,0.060,0.000,0.710,0.000,0.060,1.630,0.000,0.000,0.000,0.000,0.440,0.000,0.120,0.000,0.040,0.000,0.000,0.000,*
Rothamsted,4-1a,4,1.000,a,1991,P,0,0,P,35,0,0,0,0,0,0,0,0,a,0.000,0,0,0,0,0,0,5.470,0.000,6.170,0.000,0.050,0.210,0.000,0.800,0.000,0.520,0.000,0.000,0.000,0.000,3.780,0.030,0.130,0.000,0.000,0.920,0.000,0.000,0.000,34.450,0.000,0.000,0.000,1.470,0.000,2.430,0.000,3.610,0.000,0.000,17.180,0.000,0.000,2.790,0.510,0.000,0.000,0.000,3.400,8.430,0.400,0.000,0.000,0.000,0.000,0.000,3.370,0.000,0.000,0.000,0.500,0.210,0.000,0.000,0.000,0.000,0.000,0.000,1.080,0.000,1.700,0.370,0.000,0.000,*
Rothamsted,4-1b,4,1.000,b,1991,P,0,0,P,35,0,0,0,0,0,0,0,0,b,0.000,0,0,0,0,0,0,11.050,0.000,6.330,0.020,0.240,0.660,0.000,2.470,0.000,1.060,0.000,0.000,0.000,0.000,2.560,0.330,0.520,0.120,0.000,6.000,0.000,0.000,0.000,15.610,0.000,0.000,0.000,5.030,0.000,3.030,0.000,0.000,0.000,0.000,12.990,0.000,0.000,1.710,1.450,0.000,0.000,0.000,0.730,16.900,0.060,0.010,0.000,0.000,0.000,0.000,5.290,0.000,0.000,0.000,0.080,2.110,0.000,0.000,0.000,0.000,0.480,0.000,1.040,0.000,1.970,0.150,0.000,0.000,*
Rothamsted,4-1c,4,1.000,c,1991,P,0,0,P,35,0,0,0,0,0,0,0,0,c,0.000,0,0,0,0,0,0,7.630,0.000,13.040,0.000,0.450,0.880,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.150,0.000,0.970,0.270,0.000,2.170,0.000,0.000,0.000,40.800,0.000,0.000,0.000,0.670,0.000,4.970,0.000,0.000,0.560,0.000,15.180,0.000,0.000,0.000,1.050,0.050,0.000,0.000,0.040,6.760,0.100,0.000,0.000,0.000,0.000,0.000,1.730,0.000,0.000,0.000,0.060,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.350,0.000,0.790,0.000,0.000,0.000,*
Rothamsted,4-1d,4,1.000,d,1991,P,0,0,P,35,0,0,0,0,0,0,0,0,d,0.000,0,0,0,0,0,0,6.090,0.000,20.670,0.000,0.000,2.040,0.000,0.520,0.000,0.130,0.000,0.000,0.000,0.000,3.840,0.000,1.500,0.060,0.000,6.930,0.000,0.000,0.000,30.420,0.000,0.000,0.000,0.000,0.000,5.270,0.000,0.000,0.100,0.000,9.570,0.000,0.710,1.400,0.490,0.000,0.000,0.000,0.130,4.790,0.000,0.000,0.000,0.000,0.000,0.000,4.700,0.000,0.000,0.000,0.220,0.040,0.000,0.000,0.000,0.000,0.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,4-2a,4,2.000,a,1991,N2+P,N2,96,P,35,0,0,0,0,0,0,0,0,a,0.000,0,0,0,0,0,0,0.060,0.000,22.170,0.000,3.650,1.940,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350,3.460,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.110,0.000,0.000,0.000,0.000,0.000,1.500,0.000,0.000,0.000,0.020,0.000,0.000,0.000,*
Rothamsted,4-2b,4,2.000,b,1991,N2+P,N2,96,P,35,0,0,0,0,0,0,0,0,b,0.000,0,0,0,0,0,0,0.000,0.000,28.390,0.000,12.310,11.640,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.290,0.000,0.000,0.000,46.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.420,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,4-2c,4,2.000,c,1991,N2+P,N2,96,P,35,0,0,0,0,0,0,0,0,c,0.000,0,0,0,0,0,0,0.000,0.000,43.720,0.000,0.000,1.790,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.520,0.000,0.000,0.000,47.900,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.210,0.000,0.000,0.000,0.000,0.000,2.770,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,4-2d,4,2.000,d,1991,N2+P,N2,96,P,35,0,0,0,0,0,0,0,0,d,0.000,0,0,0,0,0,0,0.000,0.000,20.430,0.000,0.000,70.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,6a,6,*,a,1991,N1+PKNaMg,N1,48,P,35,K,225,Mg,10,Na,15,0,0,a,0.000,0,0,0,0,0,0,5.050,0.000,0.000,0.000,11.250,0.480,0.000,17.130,0.000,0.000,0.000,0.000,0.000,0.000,0.680,0.560,0.270,0.000,0.000,9.120,0.000,0.000,0.000,15.190,0.000,0.000,0.000,3.880,2.180,5.890,0.000,0.000,2.390,0.000,0.000,0.000,0.120,0.000,0.010,0.000,0.000,0.000,0.000,9.580,0.900,1.060,0.000,0.000,0.000,0.000,0.270,0.000,0.000,0.000,0.510,0.000,0.000,0.000,0.000,0.000,6.630,1.460,2.970,0.010,2.430,0.000,0.000,0.000,10
Rothamsted,6b,6,*,b,1991,N1+PKNaMg,N1,48,P,35,K,225,Mg,10,Na,15,0,0,b,0.000,0,0,0,0,0,0,3.030,0.000,0.000,0.000,6.100,1.610,0.000,24.530,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070,0.300,0.000,0.000,12.890,0.000,0.000,0.000,9.250,0.000,0.000,0.000,0.000,3.160,5.600,0.000,0.000,16.560,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,5.940,0.870,0.410,0.000,0.000,0.000,0.000,0.230,0.000,0.000,0.000,0.180,0.000,0.000,0.000,0.000,0.000,3.260,0.000,5.500,0.000,0.490,0.000,0.000,0.000,10
Rothamsted,7a,7,*,a,1991,PKNaMg,0,0,P,35,K,225,Mg,10,Na,15,0,0,a,0.000,0,0,0,0,0,0,0.000,0.000,0.240,0.000,4.570,0.040,0.250,16.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.530,0.190,0.000,0.000,5.470,0.000,0.000,0.000,1.690,0.000,0.000,0.000,0.000,3.500,6.790,0.000,0.000,32.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.620,1.080,0.830,0.000,0.000,0.000,0.000,4.630,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,4.710,0.000,3.100,0.000,0.000,0.000,0.000,0.000,2
Rothamsted,7b,7,*,b,1991,PKNaMg,0,0,P,35,K,225,Mg,10,Na,15,0,0,b,0.000,0,0,0,0,0,0,0.300,0.000,1.460,0.000,10.400,0.600,0.560,15.880,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.170,1.190,0.000,0.000,2.120,0.000,0.000,0.000,0.180,0.000,0.000,0.000,0.710,8.730,3.820,0.000,0.000,23.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.880,0.120,0.110,0.000,0.000,0.000,0.000,3.480,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,5.480,0.000,7.820,0.000,0.000,0.260,0.000,0.000,2
Rothamsted,7c,7,*,c,1991,PKNaMg,0,0,P,35,K,225,Mg,10,Na,15,0,0,c,0.000,0,0,0,0,0,0,4.340,0.000,39.280,0.000,1.720,1.870,0.000,1.860,0.000,0.000,0.000,0.000,0.000,0.000,15.550,0.000,2.750,0.450,0.000,4.550,0.000,0.000,0.000,5.080,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,3.910,0.000,3.440,0.000,0.000,0.920,0.300,0.000,0.000,0.000,0.000,3.030,0.060,0.200,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.580,0.000,9.810,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,7d,7,*,d,1991,PKNaMg,0,0,P,35,K,225,Mg,10,Na,15,0,0,d,0.000,0,0,0,0,0,0,1.320,0.000,42.050,0.000,1.580,0.010,0.000,4.750,0.000,0.000,0.000,0.000,0.000,0.000,4.470,1.080,2.540,0.260,0.000,0.720,0.000,0.000,0.000,14.710,0.000,0.000,0.000,0.000,0.000,1.060,0.000,0.000,13.440,0.000,0.000,0.000,0.000,0.000,1.790,0.000,0.000,0.000,0.000,2.180,0.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.480,1.740,5.310,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,8a,8,*,a,1991,PNaMg,0,0,P,35,0,0,Mg,10,Na,15,0,0,a,0.000,0,0,0,0,0,0,7.270,0.080,11.940,0.000,0.000,1.150,0.000,1.460,0.000,3.190,0.000,0.000,0.030,0.000,14.860,2.370,0.530,0.010,0.000,4.830,0.000,0.000,0.000,18.880,0.000,0.000,0.000,0.820,0.000,3.470,0.000,0.750,0.000,0.000,8.930,0.000,1.210,1.290,0.470,0.000,0.000,0.000,0.380,7.080,0.160,0.050,0.000,0.000,0.000,0.000,6.740,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.150,0.000,0.330,0.000,0.910,0.620,0.000,0.000,*
Rothamsted,8b,8,*,b,1991,PNaMg,0,0,P,35,0,0,Mg,10,Na,15,0,0,b,0.000,0,0,0,0,0,0,5.890,0.000,12.750,0.000,0.000,0.170,0.000,4.760,0.000,1.130,0.000,0.000,0.000,0.000,12.180,0.980,0.110,0.040,0.000,3.330,0.000,0.000,0.000,18.720,0.000,0.000,0.000,5.010,0.000,3.290,0.000,0.000,0.800,0.000,8.520,0.000,0.630,0.920,1.230,0.000,0.000,0.000,0.000,9.230,0.230,0.040,0.000,0.000,0.000,0.000,3.790,0.000,0.060,0.000,0.370,0.110,0.000,0.000,0.000,0.000,0.070,0.000,0.000,0.000,5.280,0.360,0.000,0.000,*
Rothamsted,8c,8,*,c,1991,PNaMg,0,0,P,35,0,0,Mg,10,Na,15,0,0,c,0.000,0,0,0,0,0,0,1.930,0.000,22.210,0.000,0.250,1.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.880,0.200,0.310,1.290,0.000,3.990,0.000,0.000,0.000,32.370,0.000,0.000,0.000,0.000,0.000,2.010,0.000,0.000,0.080,0.000,16.610,0.000,0.000,0.170,0.620,0.000,0.000,0.000,0.040,4.920,0.450,0.060,0.000,0.000,0.000,0.000,2.120,0.000,0.000,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.330,0.000,0.030,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,8d,8,*,d,1991,PNaMg,0,0,P,35,0,0,Mg,10,Na,15,0,0,d,0.000,0,0,0,0,0,0,5.230,0.000,16.430,0.000,0.000,2.960,0.000,1.010,0.000,0.000,0.000,0.000,0.000,0.000,4.250,0.020,0.810,1.710,0.000,1.880,0.000,0.000,0.000,34.690,0.000,0.000,0.000,0.000,0.000,7.160,0.000,0.000,0.260,0.000,14.140,0.000,0.000,0.590,1.330,0.000,0.000,0.000,0.130,5.360,0.150,0.060,0.000,0.000,0.000,0.000,1.730,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*
Rothamsted,9-1a,9,1.000,a,1991,(N2)PKNaMg,(N2),0,P,35,K,225,Mg,10,Na,15,0,0,a,0.000,0,0,0,0,0,0,0.000,0.000,4.020,0.000,5.100,0.320,2.880,12.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.740,0.000,0.000,7.650,0.000,0.000,0.000,2.020,0.000,0.000,0.000,1.320,18.550,10.930,0.000,0.000,3.530,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,2.100,4.910,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,17.100,0.000,0.010,0.000,0.000,0.000,0.000,0.000,8
Rothamsted,9-1b,9,1.000,b,1991,(N2)PKNaMg,(N2),0,P,35,K,225,Mg,10,Na,15,0,0,b,0.000,0,0,0,0,0,0,0.000,0.000,5.030,0.000,5.490,4.790,0.050,16.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.930,0.000,0.000,3.330,0.000,0.000,0.000,0.390,0.000,0.000,0.000,0.120,6.210,25.060,0.000,0.000,17.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,3.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.760,0.000,0.000,0.000,0.000,0.000,7.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8
Rothamsted,9-1c,9,1.000,c,1991,(N2)PKNaMg,(N2),0,P,35,K,225,Mg,10,Na,15,0,0,c,0.000,0,0,0,0,0,0,0.000,0.010,71.210,0.000,0.530,9.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.840,5.500,0.000,0.000,3.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.540,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8
Rothamsted,9-1d,9,1.000,d,1991,(N2)PKNaMg,(N2),0,P,35,K,225,Mg,10,Na,15,0,0,d,0.000,0,0,0,0,0,0,0.000,0.000,1.670,0.000,0.000,88.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8
Rothamsted,9-2a,9,2.000,a,1991,N2+(N2)PKNaMg,N2,96,P,35,K,225,Mg,10,Na,15,0,0,a,0.000,0,0,0,0,0,0,0.000,0.000,0.480,0.000,9.040,0.770,0.600,30.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.000,11.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.240,20.180,0.000,0.000,5.520,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.010,0.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
