harvest_year,crop,plot,sub_plot,sub_sub_plot,old_plot_notation,fertilizer_code,fertilizer_n_amount,fertilizer_n_type,fertilizer_n_date,fertilizer_p_amount,fertilizer_k_amount,sow_date,harvest_date,cultivar,plot_area,bushel_weight,hectolitre_weight,grain_yield,straw_yield,note_id
1932,spring barley,2,a,i,2a,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Archer,0.013,*,*,0.000,0.000,"3,5"
1933,spring barley,2,a,i,2a,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.025,*,*,0.000,0.000,6
1934,fallow,2,a,i,2a,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1935,fallow,2,a,i,2a,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1936,spring barley,2,a,i,2a,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.025,*,*,0.000,0.000,7
1937,spring barley,2,a,i,2a,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.025,*,*,0.000,0.000,8
1938,spring barley,2,a,i,2a,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.025,*,*,0.024,*,*
1939,spring barley,2,a,i,2a,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.025,*,*,0.000,0.000,*
1940,spring barley,2,a,i,2a,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.025,*,*,0.000,0.000,*
1941,spring barley,2,a,i,2a,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.025,*,*,0.000,0.000,*
1942,spring barley,2,a,i,2a,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.025,*,*,0.000,0.000,*
1927,fallow,2,a,ii,2aa,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1928,fallow,2,a,ii,2aa,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1929,spring barley,2,a,ii,2aa,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.025,*,*,0.887,1.300,*
1930,spring barley,2,a,ii,2aa,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.025,21.637,59.492,0.802,0.812,*
1931,spring barley,2,a,ii,2aa,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Plumage ,0.013,19.051,52.383,0.493,1.457,"1,3"
1931,spring barley,2,a,ii,2aa,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Archer,0.013,19.958,54.878,0.697,1.616,"1,3"
1932,spring barley,2,a,ii,2aa,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Plumage ,0.013,19.369,53.256,0.054,0.277,"3,4"
1932,spring barley,2,a,ii,2aa,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Archer,0.013,20.049,55.127,0.098,0.439,"3,5"
1933,spring barley,2,a,ii,2aa,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.025,*,*,0.031,0.703,6
1934,fallow,2,a,ii,2aa,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1935,fallow,2,a,ii,2aa,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1936,spring barley,2,a,ii,2aa,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.025,20.956,57.621,1.164,2.434,7
1937,spring barley,2,a,ii,2aa,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.025,18.598,51.136,0.206,0.668,8
1938,spring barley,2,a,ii,2aa,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.025,22.453,61.737,0.882,0.896,*
1939,spring barley,2,a,ii,2aa,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.025,*,*,0.411,1.475,*
1940,spring barley,2,a,ii,2aa,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.025,*,*,0.027,0.508,*
1941,spring barley,2,a,ii,2aa,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.025,*,*,0.318,1.045,*
1942,spring barley,2,a,ii,2aa,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.025,*,*,0.164,0.487,*
1927,fallow,2,b,i,2b,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1928,fallow,2,b,i,2b,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1929,spring barley,2,b,i,2b,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.025,22.453,61.737,1.427,1.895,*
1930,spring barley,2,b,i,2b,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.025,20.866,57.372,0.793,0.807,*
1931,spring barley,2,b,i,2b,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Plumage ,0.013,19.550,53.755,0.371,1.381,"1,2,3"
1931,spring barley,2,b,i,2b,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Archer,0.013,19.505,53.630,0.782,1.497,"1,3"
1932,spring barley,2,b,i,2b,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Plumage ,0.013,19.369,53.256,0.063,0.260,"3,4"
1932,spring barley,2,b,i,2b,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Archer,0.013,20.049,55.127,0.054,0.340,"3,5"
1933,spring barley,2,b,i,2b,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.025,*,*,0.031,0.619,6
1934,fallow,2,b,i,2b,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1935,fallow,2,b,i,2b,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1936,spring barley,2,b,i,2b,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.025,19.958,54.878,1.020,1.947,7
1937,spring barley,2,b,i,2b,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.025,20.321,55.875,0.063,0.219,8
1938,spring barley,2,b,i,2b,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.025,21.773,59.866,0.656,0.893,*
1939,spring barley,2,b,i,2b,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.025,*,*,0.382,0.983,*
1940,spring barley,2,b,i,2b,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.025,*,*,0.027,0.364,*
1941,spring barley,2,b,i,2b,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.025,*,*,0.495,1.140,*
1942,spring barley,2,b,i,2b,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.025,*,*,0.407,0.927,*
1927,fallow,2,b,ii,2bb,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1928,fallow,2,b,ii,2bb,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1929,spring barley,2,b,ii,2bb,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.025,22.544,61.987,1.166,1.443,*
1930,spring barley,2,b,ii,2bb,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.025,22.907,62.984,0.587,0.624,*
1931,spring barley,2,b,ii,2bb,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Plumage ,0.013,19.550,53.755,0.340,1.201,"1,2,3"
1931,spring barley,2,b,ii,2bb,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Archer,0.013,19.958,54.878,0.663,1.327,"1,3"
1932,spring barley,2,b,ii,2bb,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Plumage ,0.013,19.369,53.256,0.072,0.305,"3,4"
1932,spring barley,2,b,ii,2bb,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Archer,0.013,20.049,55.127,0.080,0.323,"3,5"
1933,spring barley,2,b,ii,2bb,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.025,*,*,0.027,0.699,6
1934,fallow,2,b,ii,2bb,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1935,fallow,2,b,ii,2bb,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1936,spring barley,2,b,ii,2bb,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.025,22.000,60.490,0.932,1.714,7
1937,spring barley,2,b,ii,2bb,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.025,20.321,55.875,0.117,0.345,8
1938,spring barley,2,b,ii,2bb,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.025,22.000,60.490,0.816,0.713,*
1939,spring barley,2,b,ii,2bb,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.025,*,*,0.391,1.020,*
1940,spring barley,2,b,ii,2bb,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.025,*,*,0.027,0.381,*
1941,spring barley,2,b,ii,2bb,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.025,*,*,0.634,1.345,*
1942,spring barley,2,b,ii,2bb,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.025,*,*,0.169,0.430,*
1927,fallow,3,a,i,3a,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1928,fallow,3,a,i,3a,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1929,spring barley,3,a,i,3a,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.025,23.451,64.481,2.034,2.372,*
1930,spring barley,3,a,i,3a,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.025,19.641,54.004,0.744,0.793,*
1931,spring barley,3,a,i,3a,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Plumage ,0.013,21.319,58.619,0.474,1.478,"1,3 "
1931,spring barley,3,a,i,3a,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Archer,0.013,18.144,49.889,0.466,1.443,"1,3"
1932,spring barley,3,a,i,3a,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Plumage ,0.013,19.369,53.256,0.161,0.600,"3,4"
1932,spring barley,3,a,i,3a,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Archer,0.013,20.049,55.127,0.215,0.851,"3,5"
1933,spring barley,3,a,i,3a,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.025,*,*,0.045,0.976,6
1934,fallow,3,a,i,3a,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1935,fallow,3,a,i,3a,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1936,spring barley,3,a,i,3a,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.025,22.000,60.490,1.356,2.201,7
1937,spring barley,3,a,i,3a,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.025,20.321,55.875,0.126,0.421,8
1938,spring barley,3,a,i,3a,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.025,23.134,63.608,1.149,1.006,*
1939,spring barley,3,a,i,3a,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.025,*,*,0.405,0.837,*
1940,spring barley,3,a,i,3a,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.025,*,*,0.022,0.418,*
1941,spring barley,3,a,i,3a,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.025,*,*,0.462,0.952,*
1942,spring barley,3,a,i,3a,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.025,*,*,0.461,0.854,*
1927,fallow,3,a,ii,3aa,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1928,fallow,3,a,ii,3aa,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1929,spring barley,3,a,ii,3aa,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.025,23.360,64.232,0.981,0.979,*
1930,spring barley,3,a,ii,3aa,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.025,19.732,54.254,0.574,0.560,*
1931,spring barley,3,a,ii,3aa,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Plumage ,0.013,19.958,54.878,0.547,1.290,"1,3 "
1931,spring barley,3,a,ii,3aa,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Archer,0.013,20.866,57.372,0.771,1.237,"1,3"
1932,spring barley,3,a,ii,3aa,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Plumage ,0.013,19.369,53.256,0.141,0.555,"3,4"
1932,spring barley,3,a,ii,3aa,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Archer,0.013,20.049,55.127,0.171,0.574,"3,5"
1933,spring barley,3,a,ii,3aa,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.025,*,*,0.054,0.976,6
1934,fallow,3,a,ii,3aa,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1935,fallow,3,a,ii,3aa,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1936,spring barley,3,a,ii,3aa,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.025,21.319,58.619,0.840,1.579,7
1937,spring barley,3,a,ii,3aa,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.025,20.321,55.875,0.139,0.421,8
1938,spring barley,3,a,ii,3aa,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.025,22.000,60.490,0.912,0.876,*
1939,spring barley,3,a,ii,3aa,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.025,*,*,0.407,0.994,*
1940,spring barley,3,a,ii,3aa,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.025,*,*,0.027,0.338,*
1941,spring barley,3,a,ii,3aa,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.025,*,*,0.262,0.672,*
1942,spring barley,3,a,ii,3aa,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.025,*,*,0.207,0.623,*
1927,fallow,3,b,i,3b,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1928,fallow,3,b,i,3b,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1929,spring barley,3,b,i,3b,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.025,23.134,63.608,1.609,1.869,*
1930,spring barley,3,b,i,3b,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.025,19.958,54.878,0.664,0.753,*
1931,spring barley,3,b,i,3b,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Plumage ,0.013,18.144,49.889,0.493,1.532,"1,3 "
1931,spring barley,3,b,i,3b,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Archer,0.013,20.866,57.372,0.600,1.524,"1,3"
1932,spring barley,3,b,i,3b,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Plumage ,0.013,19.369,53.256,0.089,0.537,"3,4"
1932,spring barley,3,b,i,3b,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Archer,0.013,20.049,55.127,0.171,0.699,"3,5"
1933,spring barley,3,b,i,3b,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.025,*,*,0.045,0.879,6
1934,fallow,3,b,i,3b,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1935,fallow,3,b,i,3b,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1936,spring barley,3,b,i,3b,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.025,21.092,57.996,1.080,1.934,7
1937,spring barley,3,b,i,3b,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.025,20.321,55.875,0.130,0.435,8
1938,spring barley,3,b,i,3b,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.025,22.680,62.361,0.954,0.760,*
1939,spring barley,3,b,i,3b,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.025,*,*,0.664,1.419,*
1940,spring barley,3,b,i,3b,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.025,*,*,0.022,0.437,*
1941,spring barley,3,b,i,3b,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.025,*,*,0.471,1.045,*
1942,spring barley,3,b,i,3b,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.025,*,*,0.429,0.922,*
1927,fallow,3,b,ii,3bb,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1928,fallow,3,b,ii,3bb,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1929,spring barley,3,b,ii,3bb,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.025,22.544,61.987,1.081,1.206,*
1930,spring barley,3,b,ii,3bb,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.025,18.371,50.512,0.484,0.488,*
1931,spring barley,3,b,ii,3bb,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Plumage ,0.013,17.237,47.394,0.377,1.281,"1,3"
1931,spring barley,3,b,ii,3bb,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Archer,0.013,19.958,54.878,0.610,1.165,"1,3"
1932,spring barley,3,b,ii,3bb,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Plumage ,0.013,19.369,53.256,0.134,0.636,"3,4"
1932,spring barley,3,b,ii,3bb,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Archer,0.013,20.049,55.127,0.179,0.663,"3,5"
1933,spring barley,3,b,ii,3bb,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.025,*,*,0.054,0.900,6
1934,fallow,3,b,ii,3bb,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1935,fallow,3,b,ii,3bb,None,0.000,*,*,0,0,*,*,*,0.025,*,*,*,*,10
1936,spring barley,3,b,ii,3bb,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.025,21.092,57.996,0.820,1.434,7
1937,spring barley,3,b,ii,3bb,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.025,20.321,55.875,0.112,0.273,8
1938,spring barley,3,b,ii,3bb,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.025,22.000,60.490,0.571,0.570,*
1939,spring barley,3,b,ii,3bb,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.025,*,*,0.290,0.846,*
1940,spring barley,3,b,ii,3bb,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.025,*,*,0.027,0.233,*
1941,spring barley,3,b,ii,3bb,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.025,*,*,0.159,0.411,*
1942,spring barley,3,b,ii,3bb,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.025,*,*,0.140,0.430,*
1927,fallow,4,a,*,4a,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1928,fallow,4,a,*,4a,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1929,spring barley,4,a,*,4a,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.050,22.861,62.860,1.246,1.611,*
1930,spring barley,4,a,*,4a,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.050,22.680,62.361,0.793,0.879,*
1931,spring barley,4,a,*,4a,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Plumage ,0.025,20.094,55.252,0.838,1.783,"1,3"
1931,spring barley,4,a,*,4a,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Archer,0.025,21.319,58.619,0.986,1.708,"1,3"
1932,spring barley,4,a,*,4a,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Plumage ,0.025,19.369,53.256,0.040,0.289,"3,4"
1932,spring barley,4,a,*,4a,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Archer,0.025,20.049,55.127,0.031,0.309,"3,5"
1933,spring barley,4,a,*,4a,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.050,*,*,0.040,0.665,6
1934,fallow,4,a,*,4a,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1935,fallow,4,a,*,4a,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1936,spring barley,4,a,*,4a,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.050,21.773,59.866,1.006,1.758,7
1937,spring barley,4,a,*,4a,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.050,20.321,55.875,0.072,0.280,8
1938,spring barley,4,a,*,4a,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.050,22.771,62.610,0.593,0.596,*
1939,spring barley,4,a,*,4a,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.050,*,*,0.378,1.094,*
1940,spring barley,4,a,*,4a,None,0.000,*,*,0,0,1940-03-09,1940-08-08,Plumage Archer,0.050,*,*,0.013,0.262,*
1941,spring barley,4,a,*,4a,N,52.687,ammonium sulphate,1941-03-21,0,0,1941-03-18,1941-09-10,Plumage Archer,0.050,*,*,0.774,1.348,*
1942,spring barley,4,a,*,4a,N,52.687,ammonium sulphate,1942-05-07,0,0,1942-04-13,1942-09-04,Plumage Archer,0.050,*,*,0.467,1.002,*
1927,fallow,4,b,*,4b,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1928,fallow,4,b,*,4b,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1929,spring barley,4,b,*,4b,None,0.000,*,*,0,0,1929-03-21,1929-08-20,Plumage Archer,0.050,22.090,60.739,1.402,1.763,*
1930,spring barley,4,b,*,4b,None,0.000,*,*,0,0,1930-03-03,1930-08-25,Plumage Archer,0.050,21.773,59.866,0.843,0.838,*
1931,spring barley,4,b,*,4b,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Plumage ,0.025,18.144,49.889,0.354,1.782,"1,3"
1931,spring barley,4,b,*,4b,None,0.000,*,*,0,0,1931-03-19,1931-08-24,Archer,0.025,20.866,57.372,0.591,1.410,"1,3"
1932,spring barley,4,b,*,4b,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Plumage ,0.025,19.369,53.256,0.018,0.157,"3,4"
1932,spring barley,4,b,*,4b,None,0.000,*,*,0,0,1932-03-16,1932-08-20,Archer,0.025,20.049,55.127,0.023,0.282,"3,5"
1933,spring barley,4,b,*,4b,None,0.000,*,*,0,0,1933-03-23,1933-08-08,Plumage Archer,0.050,*,*,0.020,0.533,6
1934,fallow,4,b,*,4b,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1935,fallow,4,b,*,4b,None,0.000,*,*,0,0,*,*,*,0.050,*,*,*,*,10
1936,spring barley,4,b,*,4b,None,0.000,*,*,0,0,1936-03-19,1936-09-01,Plumage Archer,0.050,22.181,60.989,1.209,1.917,7
1937,spring barley,4,b,*,4b,None,0.000,*,*,0,0,1937-03-31,1937-08-23,Plumage Archer,0.050,20.321,55.875,0.043,0.208,8
1938,spring barley,4,b,*,4b,None,0.000,*,*,0,0,1938-02-24,1938-08-23,Plumage Archer,0.050,22.771,62.610,1.026,0.879,*
1939,spring barley,4,b,*,4b,None,0.000,*,*,0,0,1939-02-27,1939-08-17,Plumage Archer,0.050,*,*,0.255,1.041,*
