harvest_year,plot,sub_plot,block,treatment,cultivation_direction,tillage,crop_type,cultivar,sowing_date,harvest_date,grain_yield,straw_yield,tuber_yield,ware_%,clean_beet,sugar_%,total_sugar,ACB,KM,NAM,AN,ANS,fodder_beet_fresh_wt,fodder_beet_dry_wt,fodder_beet_%DM,note_id
1997,5,*,2,T4,A,S,	winter barley,Gleam,1996-10-02,1997-08-19,0.990,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1997,6,*,2,T1,U,M,	winter barley,Gleam,1996-10-02,1997-08-19,0.190,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1997,7,*,2,T2,U,S,	winter barley,Gleam,1996-10-02,1997-08-19,0.160,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1997,8,*,2,T3,A,M,	winter barley,Gleam,1996-10-02,1997-08-19,1.170,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1998,1,1,1,T1,U,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,34.900,6.090,17.450,"1,2"
1998,1,2,1,T1,U,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,44.000,8.230,18.705,"1,2"
1998,2,1,1,T4,A,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,87.600,14.590,16.655,"1,2"
1998,2,2,1,T4,A,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,70.000,13.910,19.871,"1,2"
1998,3,1,1,T3,A,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,87.100,15.220,17.474,"1,2"
1998,3,2,1,T3,A,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,72.900,13.420,18.409,"1,2"
1998,4,1,1,T2,U,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,74.700,14.580,19.518,"1,2"
1998,4,2,1,T2,U,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,56.900,11.290,19.842,"1,2"
1998,5,1,2,T4,A,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,60.700,11.500,18.946,"1,2"
1998,5,2,2,T4,A,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,72.700,13.440,18.487,"1,2"
1998,6,1,2,T1,U,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,61.100,12.050,19.722,"1,2"
1998,6,2,2,T1,U,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,66.000,12.150,18.409,"1,2"
1998,7,1,2,T2,U,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,74.400,14.280,19.194,"1,2"
1998,7,2,2,T2,U,S,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,60.700,9.980,16.442,"1,2"
1998,8,1,2,T3,A,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,61.800,11.370,18.398,"1,2"
1998,8,2,2,T3,A,M,	fodder beet,Nestor,1998-03-19,1998-10-29,*,*,*,*,*,*,*,*,*,*,*,*,75.100,15.020,20.000,"1,2"
