harvest_year,crop,plot,fertilizer_code,fym_factor_level,n_factor_level,fertilizer_n_amount,p_factor_level,fertilizer_p_amount,k_factor_level,fertilizer_k_amount,na_factor_level,fertilizer_na_amount,mg_factor_level,fertilizer_mg_amount,planting_date_start,planting_date_end,harvest_date_start,harvest_date_end,variety,tuber_%_nitrogen_content,tuber_nitrogen_content,tuber_good_yield,tuber_small_yield,tuber_diseased_yield,tuber_total_fresh_weight_yield,tuber_%_dry_matter,tuber_total_ dry_matter_yield,grain_yield,straw_yield,note_id
1857,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,19/11/1856,*,*,*,*,*,*,*,*,*,*,*,*,1.468,1.820,*
1858,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,13/11/1857,*,*,*,*,*,*,*,*,*,*,*,*,1.280,1.782,*
1858,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,13/11/1857,*,*,*,*,*,*,*,*,*,*,*,*,1.280,1.782,*
1858,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,13/11/1857,*,*,*,*,*,*,*,*,*,*,*,*,1.155,1.606,*
1858,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,13/11/1857,*,*,*,*,*,*,*,*,*,*,*,*,1.155,1.606,*
1858,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,13/11/1857,*,*,*,*,*,*,*,*,*,*,*,*,2.146,3.250,*
1858,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,13/11/1857,*,*,*,*,*,*,*,*,*,*,*,*,2.146,3.250,*
1858,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,13/11/1857,*,*,*,*,*,*,*,*,*,*,*,*,2.686,4.656,*
1858,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,13/11/1857,*,*,*,*,*,*,*,*,*,*,*,*,2.686,4.656,*
1858,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,13/11/1857,*,*,*,*,*,*,*,*,*,*,*,*,1.305,1.782,*
1858,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,13/11/1857,*,*,*,*,*,*,*,*,*,*,*,*,1.305,1.782,*
1859,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.092,2.121,*
1859,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.092,2.121,*
1859,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.004,1.782,*
1859,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.004,1.782,*
1859,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.719,3.414,*
1859,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.719,3.414,*
1859,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,2.359,5.033,*
1859,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,2.359,5.033,*
1859,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.916,1.782,*
1859,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.916,1.782,*
1860,fallow,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2.000
1860,fallow,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2.000
1860,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.577,1.318,*
1860,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.577,1.318,*
1860,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.879,2.171,*
1860,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.879,2.171,*
1860,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,1.406,3.238,*
1860,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,1.406,3.238,*
1860,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.728,1.594,*
1860,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.728,1.594,*
1861,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.443,2.347,*
1861,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.443,2.347,*
1861,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.640,1.079,*
1861,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.640,1.079,*
1861,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.255,2.372,*
1861,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.255,2.372,*
1861,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,2.799,4.706,*
1861,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,2.799,4.706,*
1861,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.816,1.242,*
1861,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.816,1.242,*
1862,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.816,1.468,*
1862,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.816,1.468,*
1862,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.627,1.104,*
1862,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.627,1.104,*
1862,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.155,2.008,*
1862,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.155,2.008,*
1862,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,2.008,3.175,*
1862,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,2.008,3.175,*
1862,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.866,1.418,*
1862,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.866,1.418,*
1863,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,19/11/1862,*,*,*,*,*,*,*,*,*,*,*,*,1.017,1.481,*
1863,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,19/11/1862,*,*,*,*,*,*,*,*,*,*,*,*,1.017,1.481,*
1863,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,19/11/1862,*,*,*,*,*,*,*,*,*,*,*,*,0.841,1.142,*
1863,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,19/11/1862,*,*,*,*,*,*,*,*,*,*,*,*,0.841,1.142,*
1863,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,19/11/1862,*,*,*,*,*,*,*,*,*,*,*,*,2.234,3.200,*
1863,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,19/11/1862,*,*,*,*,*,*,*,*,*,*,*,*,2.234,3.200,*
1863,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,19/11/1862,*,*,*,*,*,*,*,*,*,*,*,*,3.238,5.045,*
1863,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,19/11/1862,*,*,*,*,*,*,*,*,*,*,*,*,3.238,5.045,*
1863,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,19/11/1862,*,*,*,*,*,*,*,*,*,*,*,*,1.029,1.343,*
1863,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,19/11/1862,*,*,*,*,*,*,*,*,*,*,*,*,1.029,1.343,*
1864,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.054,1.268,*
1864,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.054,1.268,*
1864,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.753,0.954,*
1864,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.753,0.954,*
1864,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.740,1.067,*
1864,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.740,1.067,*
1864,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,2.497,3.577,*
1864,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,2.497,3.577,*
1864,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,1.117,1.318,*
1864,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,1.117,1.318,*
1865,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.703,1.117,*
1865,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.703,1.117,*
1865,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.728,1.155,*
1865,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.728,1.155,*
1865,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.966,1.531,*
1865,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.966,1.531,*
1865,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,2.134,3.276,*
1865,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,2.134,3.276,*
1865,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.904,1.393,*
1865,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.904,1.393,*
1866,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.640,1.129,*
1866,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.640,1.129,*
1866,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.703,1.230,*
1866,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.703,1.230,*
1866,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.966,1.694,*
1866,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.966,1.694,*
1866,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,1.895,3.313,*
1866,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,1.895,3.313,*
1866,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.891,1.556,*
1866,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.891,1.556,*
1867,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.991,1.707,*
1867,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.991,1.707,*
1867,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.753,1.468,*
1867,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,0.753,1.468,*
1867,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.004,1.995,*
1867,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,*,*,*,*,*,*,*,*,*,*,*,*,*,1.004,1.995,*
1867,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,1.644,3.188,*
1867,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,1.644,3.188,*
1867,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.916,1.631,*
1867,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,*,*,*,*,*,*,*,*,*,*,*,*,*,0.916,1.631,*
1868,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,04/11/1867,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.054,1.330,*
1868,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,04/11/1867,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.054,1.330,*
1868,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,04/11/1867,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.054,1.355,*
1868,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,04/11/1867,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.054,1.355,*
1868,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,04/11/1867,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.381,1.770,*
1868,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,04/11/1867,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.381,1.770,*
1868,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,04/11/1867,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.832,2.585,*
1868,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,04/11/1867,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.832,2.585,*
1868,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,04/11/1867,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.092,1.418,*
1868,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,04/11/1867,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.092,1.418,*
1869,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,05/11/1868,*,*,*,red rostock,*,*,*,*,*,*,*,*,0.188,0.351,*
1869,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,05/11/1868,*,*,*,red rostock,*,*,*,*,*,*,*,*,0.188,0.351,*
1869,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,05/11/1868,*,*,*,red rostock,*,*,*,*,*,*,*,*,0.251,0.452,*
1869,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,05/11/1868,*,*,*,red rostock,*,*,*,*,*,*,*,*,0.251,0.452,*
1869,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,05/11/1868,*,*,*,red rostock,*,*,*,*,*,*,*,*,0.088,0.176,*
1869,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,05/11/1868,*,*,*,red rostock,*,*,*,*,*,*,*,*,0.088,0.176,*
1869,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,05/11/1868,*,*,*,red rostock,*,*,*,*,*,*,*,*,0.301,0.489,*
1869,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,05/11/1868,*,*,*,red rostock,*,*,*,*,*,*,*,*,0.301,0.489,*
1869,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,05/11/1868,*,*,*,red rostock,*,*,*,*,*,*,*,*,0.565,0.929,*
1869,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,05/11/1868,*,*,*,red rostock,*,*,*,*,*,*,*,*,0.565,0.929,*
1870,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,04/11/1869,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.054,1.230,*
1870,winter wheat,2,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,04/11/1869,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.054,1.230,*
1870,winter wheat,3,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,04/11/1869,*,*,*,red rostock,*,*,*,*,*,*,*,*,0.979,1.167,*
1870,winter wheat,4,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,04/11/1869,*,*,*,red rostock,*,*,*,*,*,*,*,*,0.979,1.167,*
1870,winter wheat,5,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,04/11/1869,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.155,1.418,*
1870,winter wheat,6,N ,0,N ,96.406,0,0.000,0,0.000,0,0.000,0,0.000,04/11/1869,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.155,1.418,*
1870,winter wheat,7,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,04/11/1869,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.544,1.983,*
1870,winter wheat,8,NPKNaMg,0,N ,96.406,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,04/11/1869,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.544,1.983,*
1870,winter wheat,9,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,04/11/1869,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.180,1.493,*
1870,winter wheat,10,PKNaMg,0,0,0.000,P,33.630,K ,136.762,Na ,15.694,Mg ,11.210,04/11/1869,*,*,*,red rostock,*,*,*,*,*,*,*,*,1.180,1.493,*
1871,winter wheat,1,None,0,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,03/11/1870,*,*,*,red rostock,*,*,*,*,*,*,*,*,0.000,0.000,1.000
