harvest_year,crop,previous_crop,plot,sub_plot,sub_sub_plot,old_plot_notation,fertilizer_code,fertilizer_n_amount,fertilizer_n_date,sow_date,harvest_date,cultivar,plot_area,grain_yield,straw_yield,note_id
1943,spring barley,spring barley,3,*,*,3,N2,78.470,1943-06-07 00:00:00,1943-03-12,1943-08-27,Plumage Archer,0.100,0.368,0.967,*
1944,spring barley,spring barley,3,*,*,3,N1,39.235,1944-03-28 00:00:00,1944-03-08,1944-09-04,Plumage Archer,0.100,0.593,1.162,*
1945,spring barley,spring barley,3,*,*,3,N3,117.705,1945-04-03 00:00:00,1945-03-06,1945-08-02,Plumage Archer,0.100,1.017,2.258,*
1946,spring barley,spring barley,3,*,*,3,N2,78.470,*,1946-03-13,1946-08-15,Plumage Archer,0.100,0.470,1.631,*
1947,fallow,spring barley,3,*,*,3,*,0.000,*,*,*,*,*,*,*,*
1948,fallow,spring barley,3,*,*,3,*,0.000,*,*,*,*,*,*,*,*
1949,fallow,spring barley,3,*,*,3,*,0.000,*,*,*,*,*,*,*,*
1950,spring barley,spring barley,3,*,*,3,N1,39.235,*,*,*,*,0.100,*,*,1
1951,spring barley,spring barley,3,*,*,3,N3,117.705,1951-04-23 00:00:00,1951-04-23,1951-09-24,Plumage Archer,0.100,0.414,*,2
1952,winter barley,spring barley,3,*,*,3,N2,78.470,03/17/1952,1951-12-03,1952-07-29,Pioneer,0.050,2.723,3.175,3
1952,spring barley,spring barley,3,*,*,3,N2,78.470,03/17/1952,1952-03-17,1952-07-29,Plumage Archer,0.050,1.556,2.058,3
1953,winter barley,winter barley,3,*,*,3,N1,39.235,1953-03-13 00:00:00,1952-10-09,1953-08-17,Pioneer,0.050,2.046,1.606,3
1953,spring barley,spring barley,3,*,*,3,N1,39.235,1953-03-13 00:00:00,1953-03-05,1953-08-17,Plumage Archer,0.050,1.054,0.954,3
1954,spring barley,spring barley,3,*,*,3,N3,117.705,1954-04-28 00:00:00,1953-10-25,1954-09-08,Plumage Archer,0.100,2.359,2.573,5
1955,spring barley,spring barley,3,*,*,3,N2,78.470,1952-04-12 00:00:00,1955-04-07,1952-08-24,Plumage Archer,0.100,1.004,1.343,6
1956,fallow,spring barley,3,*,*,3,*,0.000,*,*,*,*,*,*,*,14
1957,fallow,spring barley,3,*,*,3,*,0.000,*,*,*,*,*,*,*,15
1958,spring barley,spring barley,3,*,*,3,*,0.000,*,1958-03-21,*,*,0.100,*,*,7
1959,spring barley,spring barley,3,*,*,3,basalN,114.342,1959-03-25 00:00:00,1959-03-16,1959-08-19,Plumage Archer,0.050,2.422,1.268,8
1959,winter wheat,spring barley,3,*,*,3,basalN,114.342,1959-03-25 00:00:00,1958-12-05,1959-08-20,Squarehead's Master,0.051,3.665,4.857,8
1960,spring barley,spring barley,3,*,*,3,basalN,114.342,1960-03-21 00:00:00,1960-03-21,1960-08-30,Plumage Archer,0.050,2.008,1.556,8
1960,winter wheat,winter wheat,3,*,*,3,basalN,114.342,1960-03-21 00:00:00,1959-10-22,1960-08-31,Squarehead's Master,0.051,3.439,5.196,8
1961,spring barley,spring barley,3,*,*,3,basalN,114.342,1961-03-09 00:00:00,1961-03-09,1961-08-28,Plumage Archer,0.050,1.355,0.690,10
1961,spring wheat,winter wheat,3,*,*,3,basalN,114.342,1961-03-22 00:00:00,1961-03-22,1961-08-28,Jufy I,0.051,1.318,1.155,10
1962,spring oats,spring barley,3,*,*,3,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-28,Condor,0.050,2.886,1.368,*
1962,spring oats,spring wheat,3,*,*,3,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-27,Condor,0.051,3.464,1.983,*
1963,fallow,spring oats,3,*,*,3,*,0.000,*,*,*,*,*,*,*,16
1964,spring beans,spring barley,3,*,*,3,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.051,2.485,*,11
1964,spring beans,spring wheat,3,*,*,3,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.050,3.125,*,11
1965,fallow,spring beans,3,*,*,3,*,0.000,*,*,*,*,*,*,*,*
1966,fallow,spring beans,3,*,*,3,*,0.000,*,*,*,*,*,*,*,*
1943,spring barley,spring barley,4,*,*,4,N3,117.705,1943-06-07 00:00:00,1943-03-12,1943-08-27,Plumage Archer,0.100,0.582,1.178,*
1944,spring barley,spring barley,4,*,*,4,N2,78.470,1944-03-28 00:00:00,1944-03-08,1944-09-04,Plumage Archer,0.100,1.505,2.169,*
1945,spring barley,spring barley,4,*,*,4,N1,39.235,1945-04-03 00:00:00,1945-03-06,1945-08-02,Plumage Archer,0.100,0.757,2.300,*
1946,spring barley,spring barley,4,*,*,4,N3,117.705,*,1946-03-13,1946-08-15,Plumage Archer,0.100,0.966,2.178,*
1947,fallow,spring barley,4,*,*,4,*,0.000,*,*,*,*,*,*,*,*
1948,fallow,spring barley,4,*,*,4,*,0.000,*,*,*,*,*,*,*,*
1949,fallow,spring barley,4,*,*,4,*,0.000,*,*,*,*,*,*,*,*
1950,spring barley,spring barley,4,*,*,4,N2,78.470,*,*,*,*,0.100,*,*,1
1951,spring barley,spring barley,4,*,*,4,N1,39.235,1951-04-23 00:00:00,1951-04-23,1951-09-24,Plumage Archer,0.100,0.489,*,2
1952,winter barley,spring barley,4,*,*,4,N3,117.705,03/17/1952,1951-12-03,1952-07-29,Pioneer,0.050,2.548,2.937,3
1952,spring barley,spring barley,4,*,*,4,N3,117.705,03/17/1952,1952-03-17,1952-07-29,Plumage Archer,0.050,1.418,1.995,3
1953,winter barley,winter barley,4,*,*,4,N2,78.470,1953-03-13 00:00:00,1952-10-09,1953-08-17,Pioneer,0.050,2.209,2.723,3
1953,spring barley,spring barley,4,*,*,4,N2,78.470,1953-03-13 00:00:00,1953-03-05,1953-08-17,Plumage Archer,0.050,2.372,2.033,3
1954,spring barley,spring barley,4,*,*,4,N1,39.235,1954-04-28 00:00:00,1953-10-25,1954-09-08,Plumage Archer,0.100,0.715,0.891,*
1955,spring barley,spring barley,4,*,*,4,N3,117.705,1952-04-12 00:00:00,1955-04-07,1952-08-24,Plumage Archer,0.100,1.493,1.883,6
1956,fallow,spring barley,4,*,*,4,*,0.000,*,*,*,*,*,*,*,14
1957,fallow,spring barley,4,*,*,4,*,0.000,*,*,*,*,*,*,*,15
1958,spring barley,spring barley,4,*,*,4,*,0.000,*,1958-03-21,*,*,0.100,*,*,7
1959,spring barley,spring barley,4,*,*,4,basalN,114.342,1959-03-25 00:00:00,1959-03-16,1959-08-19,Plumage Archer,0.050,2.635,1.832,8
1959,winter wheat,spring barley,4,*,*,4,basalN,114.342,1959-03-25 00:00:00,1958-12-05,1959-08-20,Squarehead's Master,0.051,2.686,4.292,8
1960,spring barley,spring barley,4,*,*,4,basalN,114.342,1960-03-21 00:00:00,1960-03-21,1960-08-30,Plumage Archer,0.050,2.410,1.669,8
1960,winter wheat,winter wheat,4,*,*,4,basalN,114.342,1960-03-21 00:00:00,1959-10-22,1960-08-31,Squarehead's Master,0.051,2.748,2.886,8
1961,spring barley,spring barley,4,*,*,4,basalN,114.342,1961-03-09 00:00:00,1961-03-09,1961-08-28,Plumage Archer,0.050,1.970,0.891,10
1961,spring wheat,winter wheat,4,*,*,4,basalN,114.342,1961-03-22 00:00:00,1961-03-22,1961-08-28,Jufy I,0.051,1.343,1.381,10
1962,spring oats,spring barley,4,*,*,4,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-28,Condor,0.050,2.661,1.519,*
1962,spring oats,spring wheat,4,*,*,4,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-27,Condor,0.051,3.062,1.318,*
1963,fallow,spring oats,4,*,*,4,*,0.000,*,*,*,*,*,*,*,16
1964,spring beans,spring barley,4,*,*,4,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.051,2.008,*,11
1964,spring beans,spring wheat,4,*,*,4,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.050,2.309,*,11
1965,fallow,spring beans,4,*,*,4,*,0.000,*,*,*,*,*,*,*,*
1966,fallow,spring beans,4,*,*,4,*,0.000,*,*,*,*,*,*,*,*
1943,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1944,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1945,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1946,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1947,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1948,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1949,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1950,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1951,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1952,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1953,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1954,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1955,spring barley,spring barley,5,*,*,5,N1,39.235,1952-04-12 00:00:00,1955-04-07,1952-08-24,Plumage Archer,0.100,0.866,1.017,6
1956,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,14
1957,fallow,spring barley,5,*,*,5,*,0.000,*,*,*,*,*,*,*,15
1958,spring barley,spring barley,5,*,*,5,*,0.000,*,1958-03-21,*,*,0.100,*,*,7
1959,spring barley,spring barley,5,*,*,5,basalN,114.342,1959-03-25 00:00:00,1959-03-16,1959-08-19,Plumage Archer,0.050,2.635,1.870,8
1959,winter wheat,spring barley,5,*,*,5,basalN,114.342,1959-03-25 00:00:00,1958-12-05,1959-08-20,Squarehead's Master,0.051,2.635,4.217,8
1960,spring barley,spring barley,5,*,*,5,basalN,114.342,1960-03-21 00:00:00,1960-03-21,1960-08-30,Plumage Archer,0.050,2.385,1.619,8
1960,winter wheat,winter wheat,5,*,*,5,basalN,114.342,1960-03-21 00:00:00,1959-10-22,1960-08-31,Squarehead's Master,0.051,3.012,3.351,8
1961,spring barley,spring barley,5,*,*,5,basalN,114.342,1961-03-09 00:00:00,1961-03-09,1961-08-28,Plumage Archer,0.050,1.920,0.879,10
1961,spring wheat,winter wheat,5,*,*,5,basalN,114.342,1961-03-22 00:00:00,1961-03-22,1961-08-28,Jufy I,0.051,1.920,1.431,10
1962,spring oats,spring barley,5,*,*,5,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-28,Condor,0.050,2.648,1.368,*
1962,spring oats,spring wheat,5,*,*,5,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-27,Condor,0.051,3.075,1.744,*
1963,fallow,spring oats,5,*,*,5,*,0.000,*,*,*,*,*,*,*,16
1964,spring beans,spring barley,5,*,*,5,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.051,1.719,*,11
1964,spring beans,spring wheat,5,*,*,5,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.050,1.908,*,11
1965,fallow,spring beans,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1966,fallow,spring beans,5,*,*,5,*,0.000,*,*,*,*,*,*,*,*
1943,spring barley,spring barley,6,*,*,6,N1,39.235,1943-06-07 00:00:00,1943-03-12,1943-08-27,Plumage Archer,0.100,0.617,1.282,*
1944,spring barley,spring barley,6,*,*,6,N3,117.705,1944-03-28 00:00:00,1944-03-08,1944-09-04,Plumage Archer,0.100,0.920,1.720,*
1945,spring barley,spring barley,6,*,*,6,N2,78.470,1945-04-03 00:00:00,1945-03-06,1945-08-02,Plumage Archer,0.100,1.142,3.044,*
1946,spring barley,spring barley,6,*,*,6,N1,39.235,*,1946-03-13,1946-08-15,Plumage Archer,0.100,0.575,1.886,*
1947,fallow,spring barley,6,*,*,6,*,0.000,*,*,*,*,*,*,*,*
1948,fallow,spring barley,6,*,*,6,*,0.000,*,*,*,*,*,*,*,*
1949,fallow,spring barley,6,*,*,6,*,0.000,*,*,*,*,*,*,*,*
1950,spring barley,spring barley,6,*,*,6,N3,117.705,*,*,*,*,0.100,*,*,1
1951,spring barley,spring barley,6,*,*,6,N2,78.470,1951-04-23 00:00:00,1951-04-23,1951-09-24,Plumage Archer,0.100,0.577,*,2
1952,winter barley,spring barley,6,*,*,6,N1,39.235,03/17/1952,1951-12-03,1952-07-29,Pioneer,0.050,2.799,2.648,3
1952,spring barley,spring barley,6,*,*,6,N1,39.235,03/17/1952,1952-03-17,1952-07-29,Plumage Archer,0.050,1.217,1.820,3
1953,winter barley,winter barley,6,*,*,6,N3,117.705,1953-03-13 00:00:00,1952-10-09,1953-08-17,Pioneer,0.050,3.250,3.376,3
1953,spring barley,spring barley,6,*,*,6,N3,117.705,1953-03-13 00:00:00,1953-03-05,1953-08-17,Plumage Archer,0.050,3.163,2.786,3
1954,spring barley,spring barley,6,*,*,6,N2,78.470,1954-04-28 00:00:00,1953-10-25,1954-09-08,Plumage Archer,0.100,2.284,2.886,*
1955,spring barley,spring barley,6,*,*,6,N1,39.235,1952-04-12 00:00:00,1955-04-07,1952-08-24,Plumage Archer,0.100,1.531,1.443,6
1956,fallow,spring barley,6,*,*,6,*,0.000,*,*,*,*,*,*,*,14
1957,fallow,spring barley,6,*,*,6,*,0.000,*,*,*,*,*,*,*,15
1958,spring barley,spring barley,6,*,*,6,*,0.000,*,1958-03-21,*,*,0.100,*,*,7
1959,spring barley,spring barley,6,*,*,6,basalN,114.342,1959-03-25 00:00:00,1959-03-16,1959-08-19,Plumage Archer,0.050,2.774,2.272,8
1959,winter wheat,spring barley,6,*,*,6,basalN,114.342,1959-03-25 00:00:00,1958-12-05,1959-08-20,Squarehead's Master,0.051,3.112,5.384,8
1960,spring barley,spring barley,6,*,*,6,basalN,114.342,1960-03-21 00:00:00,1960-03-21,1960-08-30,Plumage Archer,0.050,2.949,1.958,8
1960,winter wheat,winter wheat,6,*,*,6,basalN,114.342,1960-03-21 00:00:00,1959-10-22,1960-08-31,Squarehead's Master,0.051,3.250,3.916,8
1961,spring barley,spring barley,6,*,*,6,basalN,114.342,1961-03-09 00:00:00,1961-03-09,1961-08-28,Plumage Archer,0.050,2.460,1.318,10
1961,spring wheat,winter wheat,6,*,*,6,basalN,114.342,1961-03-22 00:00:00,1961-03-22,1961-08-28,Jufy I,0.051,2.623,2.359,10
1962,spring oats,spring barley,6,*,*,6,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-28,Condor,0.050,3.338,1.845,*
1962,spring oats,spring wheat,6,*,*,6,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-27,Condor,0.051,4.054,2.033,*
1963,fallow,spring oats,6,*,*,6,*,0.000,*,*,*,*,*,*,*,16
1964,spring beans,spring barley,6,*,*,6,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.051,3.112,*,11
1964,spring beans,spring wheat,6,*,*,6,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.050,3.451,*,11
1965,fallow,spring beans,6,*,*,6,*,0.000,*,*,*,*,*,*,*,*
1966,fallow,spring beans,6,*,*,6,*,0.000,*,*,*,*,*,*,*,*
1943,spring barley,spring barley,7,*,*,7,N3,117.705,1943-06-07 00:00:00,1943-03-12,1943-08-27,Plumage Archer,0.100,0.513,1.095,*
1944,spring barley,spring barley,7,*,*,7,N2,78.470,1944-03-28 00:00:00,1944-03-08,1944-09-04,Plumage Archer,0.100,0.612,1.249,*
1945,spring barley,spring barley,7,*,*,7,N1,39.235,1945-04-03 00:00:00,1945-03-06,1945-08-02,Plumage Archer,0.100,0.597,1.786,*
1946,spring barley,spring barley,7,*,*,7,N3,117.705,*,1946-03-13,1946-08-15,Plumage Archer,0.100,0.985,2.194,*
1947,fallow,spring barley,7,*,*,7,*,0.000,*,*,*,*,*,*,*,*
1948,fallow,spring barley,7,*,*,7,*,0.000,*,*,*,*,*,*,*,*
1949,fallow,spring barley,7,*,*,7,*,0.000,*,*,*,*,*,*,*,*
1950,spring barley,spring barley,7,*,*,7,N2,78.470,*,*,*,*,0.100,*,*,1
1951,spring barley,spring barley,7,*,*,7,N1,39.235,1951-04-23 00:00:00,1951-04-23,1951-09-24,Plumage Archer,0.100,0.502,*,2
1952,winter barley,spring barley,7,*,*,7,N3,117.705,03/17/1952,1951-12-03,1952-07-29,Pioneer,0.050,2.949,3.489,3
1952,spring barley,spring barley,7,*,*,7,N3,117.705,03/17/1952,1952-03-17,1952-07-29,Plumage Archer,0.050,1.017,1.079,3
1953,winter barley,winter barley,7,*,*,7,N2,78.470,1953-03-13 00:00:00,1952-10-09,1953-08-17,Pioneer,0.050,1.129,1.330,3
1953,spring barley,spring barley,7,*,*,7,N2,78.470,1953-03-13 00:00:00,1953-03-05,1953-08-17,Plumage Archer,0.050,1.995,1.707,3
1954,spring barley,spring barley,7,*,*,7,N1,39.235,1954-04-28 00:00:00,1953-10-25,1954-09-08,Plumage Archer,0.100,*,*,2
1955,spring barley,spring barley,7,*,*,7,N3,117.705,1952-04-12 00:00:00,1955-04-07,1952-08-24,Plumage Archer,0.100,1.054,1.519,6
1956,fallow,spring barley,7,*,*,7,*,0.000,*,*,*,*,*,*,*,14
1957,fallow,fallow,7,*,*,7,*,0.000,*,*,*,*,*,*,*,15
1958,spring barley,spring barley,7,*,*,7,*,0.000,*,1958-03-21,*,*,0.100,*,*,7
1959,spring barley,spring barley,7,*,*,7,basalN,114.342,1959-03-25 00:00:00,1959-03-16,1959-08-19,Plumage Archer,0.050,2.472,1.493,8
1959,winter wheat,spring barley,7,*,*,7,basalN,114.342,1959-03-25 00:00:00,1958-12-05,1959-08-20,Squarehead's Master,0.051,2.987,4.016,8
1960,Microplot experiments,spring barley,7,*,*,7,*,*,*,*,*,*,*,*,*,9
1960,winter wheat,winter wheat,7,*,*,7,basalN,114.342,1960-03-21 00:00:00,1959-10-22,1960-08-31,Squarehead's Master,0.051,3.426,4.355,8
1961,Microplot experiments,Microplot experiments,7,*,*,7,*,*,*,*,*,*,*,*,*,9
1961,spring wheat,winter wheat,7,*,*,7,basalN,114.342,1961-03-22 00:00:00,1961-03-22,1961-08-28,Jufy I,0.051,1.468,1.431,10
1962,Fallow,Microplot experiments,7,*,*,7,*,0.000,*,*,*,*,*,*,*,*
1962,spring oats,spring wheat,7,*,*,7,basalN,62.776,1962-02-24 00:00:00,1962-02-24,1962-08-27,Condor,0.051,2.422,1.217,*
1963,fallow,spring oats,7,*,*,7,*,0.000,*,*,*,*,*,*,*,16
1964,Microplot experiments,spring barley,7,*,*,7,*,*,*,*,*,*,*,*,*,9
1964,spring beans,spring wheat,7,*,*,7,*,0.000,*,1964-03-13,1964-09-01,Minor Tick,0.051,2.410,*,11
1965,fallow,spring beans,7,*,*,7,*,0.000,*,*,*,*,*,*,*,*
1966,fallow,spring beans,7,*,*,7,*,0.000,*,*,*,*,*,*,*,*
1943,fallow,spring barley,8,*,*,8,*,0.000,*,*,*,*,*,*,*,*
1944,fallow,fallow,8,*,*,8,*,0.000,*,*,*,*,*,*,*,*
1945,fallow,fallow,8,*,*,8,*,0.000,*,*,*,*,*,*,*,*
1946,fallow,spring barley,8,*,*,8,*,0.000,*,*,*,*,*,*,*,*
1947,fallow,spring barley,8,*,*,8,*,0.000,*,*,*,*,*,*,*,*
1948,fallow,spring barley,8,*,*,8,*,0.000,*,*,*,*,*,*,*,*
1949,fallow,spring barley,8,*,*,8,*,0.000,*,*,*,*,*,*,*,*
1950,fallow,spring barley,8,*,*,8,*,0.000,*,*,*,*,*,*,*,*
1951,fallow,fallow,8,*,*,8,*,0.000,*,*,*,*,*,*,*,*
1952,fallow,fallow,8,*,*,8,*,0.000,*,*,*,*,*,*,*,*
1953,fallow,fallow,8,*,*,8,*,0.000,*,*,*,*,*,*,*,*
1954,fallow,fallow,8,*,*,8,*,0.000,*,*,*,*,*,*,*,*
1955,spring barley,fallow,8,*,*,8,N2,78.470,1952-04-12 00:00:00,1955-04-07,1952-08-24,Plumage Archer,0.100,1.205,1.418,6
1956,fallow,spring barley,8,*,*,8,*,0.000,*,*,*,*,*,*,*,14
1957,fallow,fallow,8,*,*,8,*,0.000,*,*,*,*,*,*,*,15
1958,spring barley,spring barley,8,*,*,8,*,0.000,*,1958-03-21,*,*,0.100,*,*,7
